segment	rtt	rttvar	srtt	rto
476	190.559	83.7547	69.822	404.841
477	191.331	83.8788	70.0218	405.537
478	191.446	84.0023	70.2216	406.231
479	192.056	84.1268	70.4219	406.929
480	192.473	84.2515	70.6227	407.629
481	193.013	84.377	70.824	408.332
482	192.764	84.5006	71.0245	409.027
483	193.507	84.6255	71.226	409.728
484	193.747	84.7502	71.4275	410.428
485	194.494	84.8762	71.6299	411.135
486	195.533	85.0046	71.8337	411.852
487	195.975	85.1333	72.0379	412.571
488	196.44	85.2625	72.2425	413.292
489	196.815	85.3918	72.4474	414.015
490	196.514	85.519	72.6514	414.728
491	197.257	85.6476	72.8564	415.447
492	197.66	85.7764	73.0617	416.167
493	198.244	85.906	73.2676	416.892
494	198.647	86.0359	73.4738	417.617
495	199.233	86.1665	73.6806	418.347
496	199.042	86.2955	73.8868	419.069
497	199.776	86.4257	74.0938	419.797
498	200.079	86.5558	74.3011	420.524
499	201.092	86.6882	74.5096	421.262
500	200.872	86.8187	74.7174	421.992
501	201.643	86.9506	74.9262	422.729
502	201.447	87.0808	75.1343	423.457
503	202.44	87.2131	75.3437	424.196
504	202.641	87.345	75.553	424.933
505	203.605	87.4789	75.7637	425.679
506	203.311	87.6107	75.9734	426.416
507	204.12	87.744	76.1842	427.16
508	203.312	87.8736	76.3933	427.888
509	203.984	88.0042	76.6031	428.62
510	204.042	88.1339	76.8127	429.349
511	204.708	88.2647	77.0231	430.082
512	205.168	88.3959	77.2339	430.818
513	205.929	88.5285	77.4455	431.559
514	206.184	88.6608	77.6573	432.3
515	207.23	88.7953	77.8704	433.052
516	207.064	88.9282	78.0829	433.796
517	207.794	89.0624	78.2962	434.546
518	208.107	89.1964	78.5097	435.295
519	209.188	89.3329	78.7247	436.056
520	212.307	89.4784	78.9444	436.858
521	222.056	89.6549	79.1797	437.799
522	222.378	89.831	79.4153	438.739
523	223.516	90.0095	79.6523	439.69
524	223.949	90.1881	79.8896	440.642
525	224.51	90.3671	80.1275	441.596
526	223.922	90.5429	80.364	442.536
527	224.41	90.7189	80.6009	443.476
528	224.588	90.8941	80.8377	444.414
529	225.483	91.0709	81.0756	445.359
530	225.748	91.2472	81.3136	446.303
531	226.289	91.424	81.552	447.248
532	226.783	91.601	81.7909	448.195
533	227.315	91.7784	82.0302	449.144
534	227.326	91.9544	82.2692	450.087
535	228.357	92.1325	82.5095	451.039
536	228.31	92.309	82.7493	451.985
537	228.821	92.4859	82.9895	452.933
538	228.814	92.6613	83.2294	453.875
539	229.804	92.8387	83.4705	454.825
540	229.841	93.0148	83.7112	455.77
541	230.57	93.1919	83.9527	456.72
542	230.63	93.3678	84.194	457.665
543	231.616	93.5456	84.4365	458.619
544	231.708	93.7224	84.6787	459.568
545	232.358	93.8998	84.9216	460.521
546	229.533	94.0667	85.1594	461.426
547	230.053	94.2339	85.3977	462.333
548	223.558	94.3783	85.625	463.138
549	224.094	94.5234	85.8527	463.946
550	211.593	94.6261	86.0595	464.564
551	212.089	94.7294	86.2668	465.184
552	212.391	94.8326	86.4742	465.805
553	212.926	94.9366	86.6822	466.429
554	213.32	95.0409	86.8905	467.054
555	214.45	95.1479	87.1003	467.692
556	214.606	95.2543	87.31	468.327
557	215.386	95.3623	87.5207	468.97
558	215.925	95.471	87.7319	469.616
559	216.595	95.5808	87.9438	470.267
560	217.075	95.6912	88.1562	470.921
561	217.934	95.8033	88.3697	471.583
562	217.929	95.9144	88.5827	472.24
563	218.495	96.0262	88.7964	472.901
564	219.001	96.1386	89.0106	473.565
565	219.518	96.2517	89.2252	474.232
566	219.574	96.3638	89.4396	474.895
567	220.057	96.4765	89.6544	475.561
568	223.177	96.5984	89.874	476.268
569	225.934	96.7282	90.0978	477.011
570	226.087	96.8573	90.3215	477.751
571	226.915	96.9881	90.5462	478.498
572	227.584	97.1198	90.7715	479.251
573	228.991	97.255	90.9989	480.019
574	228.999	97.389	91.2259	480.782
575	230.377	97.5264	91.4547	481.56
576	231.468	97.6662	91.685	482.35
577	233.396	97.811	91.9181	483.162
578	233.549	97.9552	92.151	483.972
579	234.14	98.1	92.3846	484.785
580	234.209	98.2439	92.6178	485.593
581	235.049	98.3892	92.8521	486.409
582	234.996	98.5331	93.0859	487.218
583	235.556	98.6777	93.3202	488.031
584	235.386	98.8204	93.5539	488.835
585	236.172	98.9645	93.7884	489.646
586	235.876	99.1063	94.0221	490.447
587	236.58	99.2493	94.2566	491.254
588	236.924	99.3921	94.4913	492.06
589	237.431	99.5353	94.7264	492.868
590	237.749	99.6784	94.9616	493.675
591	238.476	99.8226	95.1976	494.488
592	238.846	99.9667	95.4339	495.301
593	239.84	100.113	95.6714	496.123
594	239.761	100.258	95.9084	496.939
595	240.466	100.403	96.1462	497.759
596	240.441	100.548	96.3835	498.574
597	241.394	100.694	96.622	499.398
598	241.515	100.839	96.8603	500.218
599	242.061	100.985	97.0991	501.04
600	242.215	101.13	97.3378	501.86
601	243.174	101.277	97.5777	502.688
602	243.154	101.423	97.8171	503.51
603	243.887	101.57	98.0573	504.338
604	141.905	101.38	98.1295	503.65
605	142.569	101.193	98.2025	502.974
606	142.397	101.005	98.2752	502.297
607	142.442	100.818	98.3479	501.622
608	142.841	100.633	98.4211	500.954
609	142.661	100.448	98.4938	500.284
610	142.972	100.264	98.567	499.621
611	143.237	100.081	98.6404	498.963
612	143.288	99.8983	98.7139	498.307
613	143.739	99.7178	98.7879	497.659
614	143.71	99.5376	98.8618	497.012
615	147.738	99.3709	98.9422	496.426
616	151.686	99.2175	99.0289	495.899
617	157.73	99.0843	99.1255	495.462
618	157.488	98.9503	99.2215	495.023
619	158.126	98.8186	99.3184	494.593
620	158.097	98.6869	99.415	494.162
621	158.051	98.5551	99.5115	493.732
622	157.971	98.4232	99.6076	493.301
623	157.702	98.2906	99.7032	492.865
624	157.96	98.1589	99.799	492.434
625	157.849	98.0269	99.8945	492.002
626	157.642	97.8944	99.9895	491.567
627	157.908	97.7629	100.085	491.136
628	157.653	97.6307	100.179	490.702
629	157.565	97.4983	100.274	490.267
630	157.669	97.3664	100.368	489.834
631	157.761	97.2349	100.463	489.402
632	157.554	97.1029	100.556	488.968
